"FRONT","SEGMENT","","","","","","","","","","","","","",""
"Window","Pitch [mm]","Orientation","Phase [mm]","Slit width [mm]","Slit width gradient [mm]","RMS error [mm]","Thickness","Bridge width [mm]","Bridge pitch [mm]","Phase_wrt_det","Det. nom. X","Det. Nom. Y","Phase_wrt_det_excel","moire_pitch","moire_angle"
"1","0.078050","169.977","0.0048","0.0457","0.0009","0.0012","0.3538","0.0433","1.130299","0.01706978","-62.5","36.5","0.01706796118556","#DIV/0!","0"
"2","0.158102","130.406","0.1136","0.07645","0.0008","0.0009","0.3897","0.0587","1.970416","0.14862192","-62.5","13.5","0.14862081908039","#DIV/0!","0"
"3","0.909818","151.503","0.1114","0.4811","0.0008","0.0014","0.4413","0.0000","0.000000","0.52209861","-62.5","-13.5","0.52209807206896","#DIV/0!","0"
"4","0.461310","68.608","0.1562","0.2352","0.0004","0.0011","0.4171","0.0426","3.150334","0.27301484","-62.5","-36.5","0.27301557937056","#DIV/0!","0"
"5","0.110609","29.839","0.0102","0.0566","0.0009","0.0008","0.3813","0.5000","1.650000","0.038839613","-37.5","59.5","0.03883865060206","#DIV/0!","0"
"6","0.158530","69.527","0.0247","0.0741","0.0007","0.0007","0.3924","0.0618","1.580188","0.11445519","-37.5","36.5","0.11445541050746","#DIV/0!","0"
"7","0.077594","110.252","0.0195","0.0465","0.0019","0.0009","0.3740","0.0422","1.050062","0.02452262","-37.5","13.5","0.024522227791865","#DIV/0!","0"
"8","0.320330","150.541","0.0178","0.1589","0.0006","0.0008","0.4050","0.0441","2.661093","0.22839715","-37.5","-13.5","0.22839695235821","#DIV/0!","0"
"9","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL"
"10","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG"
"11","0.113799","150.076","0.0147","0.0934","0.0013","0.0011","Non-recov.","0.0464","1.099887","","-12.5","73.5","0.014670155428017","#DIV/0!","0"
"","0.113793","150.079","0.0887","0.0925","0.0004","0.0011","Non-recov.","","","","-12.5","73.5","0.091645029385891","#DIV/0!","0"
"","0.113797","150.074","0.0575","0.0939","0.0003","0.0011","Non-recov.","","","","-12.5","73.5","0.055336003761095","#DIV/0!","0"
"12","0.108817","129.883","0.0590","0.0795","0.0014","0.0010","Non-recov.","0.0440","1.180036","","-12.5","50.5","0.0091992644317823","#DIV/0!","0"
"","0.108825","129.879","0.0032","0.0835","0.0008","0.0010","Non-recov.","","","","-12.5","50.5","0.061461760797338","#DIV/0!","0"
"13","0.114000","90.139","0.0921","0.0836","0.0012","0.0011","Non-recov.","0.0612","1.100171","","-12.5","27.5","0.096451513261317","#DIV/0!","0"
"","0.113998","90.143","0.0533","0.0919","0.0019","0.0009","Non-recov.","","","","-12.5","27.5","0.058168937824414","#DIV/0!","0"
"","0.114008","90.137","0.0121","0.0867","0.0008","0.0008","Non-recov.","","","","-12.5","27.5","0.01790589250443","#DIV/0!","0"
"14","0.674276","107.955","0.0477","0.3377","0.0006","0.0016","0.4024","0.0000","0.000000","0.39290975","-12.5","-27.5","0.39369278171689","#DIV/0!","0"
"15","0.229421","50.582","0.0469","0.1094","0.0014","0.0016","0.3819","0.0516","1.970634","0.1191845","-12.5","-50.5","0.15088859439275","#DIV/0!","0"
"16","0.642102","170.393","0.0152","0.3364","0.0031","0.0014","0.4011","0.0000","0.000000","0.35626162","-12.5","-73.5","0.20589686222307","#DIV/0!","0"
"17","0.108278","9.995","0.0116","0.0839","0.0007","0.0012","Non-recov.","0.0544","1.130375","","12.5","73.5","0.10701046897533","#DIV/0!","0"
"","0.108286","9.990","0.0569","0.0852","0.0008","0.0011","Non-recov.","","","","12.5","73.5","0.049647467497366","#DIV/0!","0"
"18","0.113806","29.957","0.0366","0.0881","0.0020","0.0013","Non-recov.","0.0469","1.100317","","12.5","50.5","0.10276533951072","#DIV/0!","0"
"","0.113801","29.954","0.1060","0.0929","0.0007","0.0011","Non-recov.","","","","12.5","50.5","0.060697270277057","#DIV/0!","0"
"","0.113808","29.956","0.0710","0.0929","0.0011","0.0011","Non-recov.","","","","12.5","50.5","0.024895997289272","#DIV/0!","0"
"19","0.108725","70.185","0.0664","0.0794","0.0004","0.0008","Non-recov.","0.0542","1.050101","","12.5","27.5","0.06812297221134","#DIV/0!","0"
"","0.108729","70.188","0.0098","0.0833","0.0012","0.0007","Non-recov.","","","","12.5","27.5","0.011500409611245","#DIV/0!","0"
"20","0.951346","86.916","0.9130","0.4903","0.0017","0.0012","0.4375","0.0000","0.000000","0.50530468","12.5","-27.5","0.50530466827042","#DIV/0!","0"
"21","0.453733","9.763","0.1752","0.2286","0.0024","0.0019","0.3819","0.0463","3.020667","0.18603923","12.5","-50.5","0.18604108509837","#DIV/0!","0"
"22","0.909875","28.534","0.7453","0.4781","0.0009","0.0027","0.4153","0.0000","0.000000","0.43303075","12.5","-73.5","0.43303250147966","#DIV/0!","0"
"23","0.110621","150.188","0.0762","0.0555","0.0010","0.0009","0.3714","0.0356","1.690305","0.016244304","37.5","59.5","0.016243339657998","#DIV/0!","0"
"24","0.320329","29.494","0.1920","0.1555","0.0010","0.0011","0.4183","0.0508","2.660021","0.12724505","37.5","36.5","0.12724357266053","#DIV/0!","0"
"25","0.111218","89.650","0.0078","0.0575","0.0009","0.0006","0.3910","0.0386","1.100597","0.083433533","37.5","13.5","0.083433526813421","#DIV/0!","0"
"26","0.457701","131.160","0.1632","0.2307","0.0044","0.0014","0.3609","0.0492","2.951300","0.2923359","37.5","-13.5","0.29233663820194","#DIV/0!","0"
"27","0.230490","169.887","0.0272","0.1039","0.0017","0.0016","0.3476","0.0568","2.280569","0.17387516","37.5","-36.5","0.17387681209377","#DIV/0!","0"
"28","0.325430","91.078","0.2984","0.1679","0.0006","0.0013","0.4149","0.0554","2.200088","0.17926456","37.5","-59.5","0.17926458189396","#DIV/0!","0"
"29","0.077934","50.203","0.0628","0.0460","0.0011","0.0009","0.3597","0.0446","1.180051","0.021777536","62.5","36.5","0.021776156048868","#DIV/0!","0"
"30","0.160430","10.117","0.0749","0.0772","0.0007","0.0011","0.3903","0.0590","1.810433","0.033202279","62.5","13.5","0.033201337344599","#DIV/0!","0"
"31","0.228531","109.323","0.0969","0.1190","0.0006","0.0010","0.3838","0.0595","2.070182","0.15424918","62.5","-13.5","0.15424977174981","#DIV/0!","0"
"32","0.682253","51.714","0.4855","0.3384","0.0018","0.0032","0.3980","0.0000","0.000000","0.3163954","62.5","-36.5","0.31639490948802","#DIV/0!","0"
