"REAR","SEGMENT","","","","","","","","","","","",""
"Window","Pitch","Orientation","Phase","Slit width","Slit width gradient","RMS error","Thickness","Bridge width","Bridge pitch","Phase_wrt_det","Det. nom. X","Det. Nom. Y","Phase_wrt_det_excel"
"1","0.077388","170.037","0.0173","0.0507","0.0007","0.0011","0.3628","0.0398","1.130199","0.0043729666","-62.5","36.5","0.0043711487869921"
"2","0.159965","129.588","0.1497","0.0806","0.0004","0.0008","0.3901","0.0543","1.970729","0.14165321","-62.5","13.5","0.14165211582477"
"3","0.999226","148.373","0.0860","0.4920","0.0026","0.0011","0.4210","0.0000","0.000000","0.42923952","-62.5","-13.5","0.42923891933742"
"4","0.469697","71.434","0.4560","0.2431","0.0029","0.0010","0.3922","0.0416","3.150274","0.12629536","-62.5","-36.5","0.12629600020644"
"5","0.111831","30.180","0.0497","0.0623","0.0005","0.0009","0.4082","0.0378","1.690653","0.01075549","-37.5","59.5","0.010754543669966"
"6","0.159539","70.480","0.0086","0.0849","0.0006","0.0007","0.4226","0.0582","1.580039","0.14006847","-37.5","36.5","0.14006868670349"
"7","0.077834","109.754","0.0388","0.0534","0.0012","0.0007","0.3896","0.0399","1.050446","0.0073805457","-37.5","13.5","0.0073801633168029"
"8","0.330751","149.460","0.3021","0.1712","0.0010","0.0009","0.3805","0.0434","2.660393","0.10034368","-37.5","-13.5","0.10034346566084"
"9","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL","CFL"
"10","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG"
"11","0.114224","149.930","0.0668","0.0971","0.0004","0.0011","Non-recov.","0.0495","1.100279","","-12.5","73.5","0.10030137425254"
"","0.114218","149.938","0.0972","0.0951","0.0004","0.0011","Non-recov.","","","","-12.5","73.5","0.024463650603425"
"","0.114223","149.931","0.0309","0.0922","0.0008","0.0010","Non-recov.","","","","-12.5","73.5","0.064731835019967"
"12","0.108394","130.131","0.0542","0.0813","0.0003","0.0010","Non-recov.","0.0462","1.180239","","-12.5","50.5","0.066636378454647"
"","0.108406","130.131","0.1026","0.0810","0.0005","0.0010","Non-recov.","","","","-12.5","50.5","0.0103685445294"
"13","0.114008","89.864","0.1065","0.0891","0.0005","0.0009","Non-recov.","0.0656","1.099935","","-12.5","27.5","0.052875754072134"
"","0.113995","89.865","0.0362","0.0915","0.0007","0.0008","Non-recov.","","","","-12.5","27.5","0.093532081640719"
"","0.114015","89.862","0.0658","0.0833","0.0009","0.0009","Non-recov.","","","","-12.5","27.5","0.013353802180929"
"14","0.657124","112.013","0.2675","0.3455","0.0031","0.0013","0.3977","0.0000","0.000000","0.22019773","-12.5","-27.5","0.22019771679655"
"15","0.225653","49.427","0.0326","0.1155","0.0020","0.0014","0.3787","0.0527","1.970511","0.023852427","-12.5","-50.5","0.02385326112966"
"16","0.691758","169.609","0.3612","0.3451","0.0021","0.0011","0.4053","0.0000","0.000000","0.31852546","-12.5","-73.5","0.31852816596596"
"17","0.108940","10.031","0.1056","0.0861","0.0004","0.0010","Non-recov.","0.0594","1.129875","","12.5","73.5","0.047757156118346"
"","0.108958","10.034","0.0523","0.0845","0.0005","0.0009","Non-recov.","","","","12.5","73.5","0.099603984722385"
"18","0.114231","30.058","0.0923","0.0954","0.0007","0.0013","Non-recov.","0.0506","1.100059","","12.5","50.5","0.009980784843869"
"","0.114220","30.063","0.0608","0.0941","0.0006","0.0011","Non-recov.","","","","12.5","50.5","0.087247747690594"
"","0.114238","30.060","0.0166","0.0919","0.0014","0.0011","Non-recov.","","","","12.5","50.5","0.047344848871958"
"19","0.108492","69.838","0.0853","0.0783","0.0008","0.0009","Non-recov.","0.0591","1.050168","","12.5","27.5","0.060297833113917"
"","0.108493","69.834","0.0257","0.0814","0.0009","0.0009","Non-recov.","","","","12.5","27.5","0.0024059026924504"
"20","0.951412","93.105","0.2194","0.4920","0.0039","0.0014","0.4052","0.0000","0.000000","0.3623765","12.5","-27.5","0.36237652076907"
"21","0.478018","10.273","0.4254","0.2415","0.0012","0.0014","0.3866","0.0436","3.021032","0.21991144","12.5","-50.5","0.21991327392144"
"22","0.999212","31.621","0.2162","0.4878","0.0026","0.0016","0.4144","0.0000","0.000000","0.4349055","12.5","-73.5","0.43490709138516"
"23","0.111829","149.804","0.0380","0.0624","0.0009","0.0009","0.3947","0.0391","1.690020","0.10068186","37.5","59.5","0.10068091222229"
"24","0.330741","30.534","0.2552","0.1632","0.0005","0.0010","0.4123","0.0467","2.660331","0.11991067","37.5","36.5","0.11990920953434"
"25","0.111216","90.354","0.1018","0.0626","0.0008","0.0005","0.3697","0.0420","1.099660","0.050155518","37.5","13.5","0.050155523984935"
"26","0.473501","128.820","0.3551","0.2410","0.0057","0.0015","0.3879","0.0399","2.949872","0.1496735","37.5","-13.5","0.14967421150675"
"27","0.224674","170.124","0.2222","0.1155","0.0024","0.0011","0.3676","0.0567","2.279257","0.093827712","37.5","-36.5","0.093829361800914"
"28","0.325412","88.938","0.0580","0.1710","0.0014","0.0015","0.3852","0.0521","2.200617","0.041975673","37.5","-59.5","0.041975654203878"
"29","0.077494","49.798","0.0494","0.0513","0.0005","0.0007","0.3546","0.0357","1.180175","0.038269479","62.5","36.5","0.038268086439727"
"30","0.157633","9.911","0.0927","0.0852","0.0008","0.0010","0.3989","0.0615","1.810039","0.066404415","62.5","13.5","0.066403479212993"
"31","0.226511","110.694","0.1825","0.1150","0.0010","0.0013","0.3650","0.0541","2.070283","0.011907995","62.5","-13.5","0.011908630976354"
"32","0.649947","48.378","0.3333","0.3421","0.0034","0.0012","0.3884","0.0000","0.000000","0.2377388","62.5","-36.5","0.23773834924111"
